Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
338798,Ulysses,James Joyce,"Joyce, James","Morris L. Ernst, John M. Woolsey","=""""","=""""",0,3.77,Vintage,Paperback,783,1990,1922,,2024/01/01,to-read,to-read (#21),to-read,,,,0,0
11012,Dubliners,James Joyce,"Joyce, James","Terence Brown, Jeri Johnson","=""""","=""""",0,3.84,Oxford University Press,Paperback,352,2001,1914,,2024/01/01,to-read,to-read (#20),to-read,,,,0,0
27209239,Bloodline (Star Wars),Claudia Gray,"Gray, Claudia",January LaVoy,"=""0451486080""","=""9780451486080""",5,4.07,Random House Audio,Audio CD,13,2016,2016,2024/01/01,2023/12/13,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.50,Ballantine Books,Hardcover,476,2021,2021,2023/12/31,2023/12/07,,,read,,,,1,0
61327450,Pathogenesis: A History of the World in Eight Plagues,Jonathan     Kennedy,"Kennedy, Jonathan",,"=""0593240472""","=""9780593240472""",0,3.93,Crown,Hardcover,304,2023,2023,,2023/12/29,to-read,to-read (#19),to-read,,,,0,0
31140332,"Thrawn (Star Wars: Thrawn, #1)",Timothy Zahn,"Zahn, Timothy",,"=""1780894848""","=""9781780894843""",4,4.31,Random House,Hardcover,427,2017,2017,2023/12/29,2023/12/18,,,read,,,,1,0
60607074,The Ascent of Information: How Data Rules the World,Caleb Scharf,"Scharf, Caleb",,"=""0593087259""","=""9780593087251""",0,3.92,Riverhead Books,Paperback,352,2022,,,2023/12/28,to-read,to-read (#18),to-read,,,,0,0
20763766,Information Doesn't Want to Be Free: Laws for the Internet Age,Cory Doctorow,"Doctorow, Cory","Neil Gaiman, Amanda Palmer","=""1940450284""","=""9781940450285""",0,3.98,McSweeney's,Hardcover,192,2014,2014,,2023/12/28,to-read,to-read (#17),to-read,,,,0,0
61089452,"A Hacker's Mind: How the Powerful Bend Society's Rules, and How to Bend them Back",Bruce Schneier,"Schneier, Bruce",,"=""0393866661""","=""9780393866667""",0,3.69,W. W. Norton & Company,Hardcover,304,2023,2023,,2023/12/28,to-read,to-read (#16),to-read,,,,0,0
27333,Silent Spring,Rachel Carson,"Carson, Rachel",,"=""0618249060""","=""9780618249060""",0,4.05,Mariner Books,Paperback,378,2022,1962,,2023/12/28,to-read,to-read (#15),to-read,,,,0,0
45450131,Great Women Artists,Phaidon Press,"Press, Phaidon",,"=""0714878774""","=""9780714878775""",0,4.55,Phaidon Press,Hardcover,464,2019,,,2023/12/28,to-read,to-read (#14),to-read,,,,0,0
101160753,The Six: The Untold Story of America's First Women Astronauts,Loren Grush,"Grush, Loren",,"=""1982172800""","=""9781982172800""",0,4.33,Scribner,Hardcover,432,2023,2023,,2023/12/28,to-read,to-read (#13),to-read,,,,0,0
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""""","=""""",0,4.44,Simon & Schuster,ebook,320,2022,2022,,2023/12/27,to-read,to-read (#12),to-read,,,,0,0
22733729,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky Chambers,"Chambers, Becky",,"=""1500453307""","=""9781500453305""",5,4.17,CreateSpace Independent Publishing Platform ,Paperback,518,2014,2014,2023/12/22,2022/02/02,,,read,,,,1,0
61327068,Aventures autour du Mont Blanc,Alexandre Dumas,"Dumas, Alexandre",,"=""2352213525""","=""9782352213529""",5,4.27,Paulsen - Guerin ,Hardcover,190,2022,,2023/12/21,2023/07/22,,,read,,,,1,0
106835,The Intelligent Investor,Benjamin Graham,"Graham, Benjamin","Jason Zweig, Warren Buffett","=""0060555661""","=""9780060555665""",0,4.24,Harper Business,Paperback,623,2006,1949,,2023/12/19,to-read,to-read (#11),to-read,,,,0,0
13838197,The Clash of the Cultures: Investment vs. Speculation,John C. Bogle,"Bogle, John C.",Arthur Levitt Jr.,"=""1118122771""","=""9781118122778""",0,3.87,John Wiley and Sons,Hardcover,384,2012,2012,,2023/12/19,to-read,to-read (#10),to-read,,,,0,0
288897,Where Are the Customers' Yachts?: or A Good Hard Look at Wall Street,Fred Schwed Jr.,"Jr., Fred Schwed","Peter Arno, Jason Zweig","=""0471770892""","=""9780471770893""",0,3.89,Wiley,Paperback,208,2006,1940,,2023/12/19,to-read,to-read (#9),to-read,,,,0,0
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,"=""1501135910""","=""9781501135910""",0,4.46,Scribner,Hardcover,400,2016,2016,,2023/12/19,to-read,to-read (#8),to-read,,,,0,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",0,4.67,Tor Books,Hardcover,1007,2010,2010,,2023/12/18,to-read,to-read (#7),to-read,,,,0,0
54785515,Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"Burkeman, Oliver",,"=""0374159122""","=""9780374159122""",5,4.19,"Farrar, Straus and Giroux",Hardcover,245,2021,2021,2023/12/17,2023/12/16,,,read,,,,1,0
23754,"The Sandman, Vol. 1: Preludes & Nocturnes",Neil Gaiman,"Gaiman, Neil","Sam Kieth, Mike Dringenberg, Malcolm Jones III, Todd Klein, Karen  Berger, Daniel Vozzo","=""1563892278""","=""9781563892271""",0,4.25,DC Comics: Vertigo,Hardcover,240,1998,1988,,2023/12/16,to-read,to-read (#6),to-read,,,,0,0
20262705,A New Dawn (Star Wars),John Jackson Miller,"Miller, John Jackson",Dave Filoni,"=""0553392867""","=""9780553392869""",4,3.82,Del Rey,Hardcover,367,2014,2014,2023/12/12,2023/07/25,,,read,,,,1,0
56301206,The Story of Art Without Men,Katy Hessel,"Hessel, Katy",,"=""1788167406""","=""9781788167406""",5,4.30,Profile Books,Hardcover,352,2022,2022,2023/12/12,2023/10/27,,,read,,,,1,0
27209432,This Is Where You Belong: The Art and Science of Loving the Place You Live,Melody Warnick,"Warnick, Melody",,"=""0525429123""","=""9780525429128""",5,3.70,Viking,Hardcover,308,2016,2016,2023/12/11,2023/12/07,,,read,,,,1,0
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,"=""0786838655""","=""9780786838653""",5,4.31,Disney Hyperion Books,Paperback,377,2006,2005,2023/12/10,2019/12/21,,,read,,,,2,0
40917496,Master and Apprentice (Star Wars),Claudia Gray,"Gray, Claudia",,"=""0525619372""","=""9780525619376""",5,4.17,Random House Worlds,Hardcover,330,2019,2019,2023/12/09,2023/10/16,,,read,,,,1,0
18423,The Left Hand of Darkness,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",3,4.10,Ace,Paperback,304,2000,1969,2023/12/07,2022/02/02,,,read,,,,1,0
222078,The Story of Art,E.H. Gombrich,"Gombrich, E.H.",,"=""071483355X""","=""9780714833552""",4,3.97,Phaidon,Hardcover,688,1967,1950,2023/12/02,2023/10/27,,,read,,,,1,0
34817927,"Star Wars: From a Certain Point of View (From a Certain Point of View, #1)",Elizabeth Schaefer,"Schaefer, Elizabeth","Ben Acker, Tom Angleberger, Jonathan        Davis, Ben Blacker, Janina Gavankar, Jeffrey   Brown, Jon Hamm, Jason Fry, Neil Patrick Harris, Christie Golden, January LaVoy, Saskia Maarleveld, Pierce Brown, Carol Monda, Ashley Eckstein, Mur Lafferty, Marc Thompson, Ken Liu, Griffin McElroy, John Jackson Miller, Kelly Sue DeConnick, Nnedi Okorafor, Daniel José Older, Ian Doescher, Daniel M. Lavery, Madeleine Roux, Gary D. Schmidt, Matt Fraction, Cavan Scott, Sabaa Tahir, Kieron Gillen, Glen Weldon, Chuck Wendig, Gary Whitta, Meg Cabot, Pablo Hidalgo, Adam Christopher, Rae Carson, Zoraida Córdova, Delilah S. Dawson, Paul Dini, Alexander Freed, Claudia Gray, Paul S. Kemp, Elizabeth Wein, Beth Revis, Greg Rucka, Charles Soule, Wil Wheaton, Renée Ahdieh","=""0345511476""","=""9780345511478""",5,3.94,Del Rey,Hardcover,477,2017,2017,2023/11/26,2023/11/13,,,read,,,,1,0
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,"=""""","=""""",5,4.13,Tor.com,ebook,144,2017,2017,2023/11/29,2022/02/02,,,read,,,,1,0
58735075,Find Your People: Building Deep Community in a Lonely World,Jennie Allen,"Allen, Jennie",,"=""0593558235""","=""9780593558232""",3,3.95,Random House Large Print,Paperback,304,2022,2022,2023/11/16,2023/11/13,,,read,,,,1,0
26025989,The Princess Diarist,Carrie Fisher,"Fisher, Carrie",,"=""0399173595""","=""9780399173592""",5,3.70,Blue Rider Press,Hardcover,257,2016,2016,2023/10/15,2023/10/13,,,read,,,,1,0
60209472,"Happier Hour: How to Beat Distraction, Expand Your Time, and Focus on What Matters Most",Cassie Holmes,"Holmes, Cassie",,"=""1982148802""","=""9781982148805""",5,3.82,Gallery Books,Hardcover,320,2022,,2023/10/16,2023/10/16,,,read,,,,1,0
35268117,Text Me When You Get Home: The Evolution and Triumph of Modern Female Friendship,Kayleen Schaefer,"Schaefer, Kayleen",Lauren Fortgang,"=""0525527532""","=""9780525527534""",5,3.46,Penguin Audio,Audiobook,7,2018,2018,2023/11/13,2022/05/02,,,read,,,,1,0
7332,The Silmarillion,J.R.R. Tolkien,"Tolkien, J.R.R.","Christopher Tolkien, Ted Nasmith","=""0618391118""","=""9780618391110""",5,4.03,Houghton Mifflin Company,Hardcover,386,2004,1977,2023/11/13,2023/10/16,,,read,,,,1,0
395233,The Letters of Vincent van Gogh,Vincent van Gogh,"Gogh, Vincent van","Ronald de Leeuw, Arnold J. Pomerans","=""0140446745""","=""9780140446746""",0,4.09,Penguin Classics,Paperback,528,1998,1914,,2023/11/11,to-read,to-read (#5),to-read,,,,0,0
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",0,4.22,"Little, Brown and Company",Hardcover,393,2018,2018,,2023/11/11,to-read,to-read (#4),to-read,,,,0,0
42115981,Loveless,Alice Oseman,"Oseman, Alice",,"=""000824412X""","=""9780008244125""",5,4.18,HarperCollins Children’s Books,Paperback,433,2020,2020,,2023/10/10,,,read,,,,2,0
25067046,Lost Stars (Star Wars),Claudia Gray,"Gray, Claudia",,"=""1484724984""","=""9781484724989""",5,4.29,Disney Lucasfilm Press,Hardcover,551,2015,2015,2023/07/25,2023/07/22,,,read,,,,1,0
34860402,"Leia: Princess of Alderaan (Journey to Star Wars: The Last Jedi, #3)",Claudia Gray,"Gray, Claudia",,"=""1484780787""","=""9781484780787""",5,4.14,Disney Lucasfilm Press,Hardcover,409,2017,2017,2023/07/25,2023/07/13,,,read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",5,4.42,Ballantine Books,Hardcover,384,2014,2011,,2021/07/16,,,read,,,,2,0
43319933,Every Tool's a Hammer: Life Is What You Make It,Adam Savage,"Savage, Adam",,"=""1982113499""","=""9781982113490""",4,4.18,Atria Books,ebook,320,2019,2019,2022/07/08,2022/07/08,,,read,,,,1,0
41104077,Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,"Pérez, Caroline Criado",,"=""1419729071""","=""9781419729072""",1,4.34,Abrams Press,Hardcover,448,2019,2019,,2022/03/17,,,read,"If you study/work in STEM, you probably shouldn't bother with this book. It is simply a 300-page list of facts, most of which I had already learned from working in tech. I was severely disappointed by the author's lack of analysis, which I was hoping-- and quite frankly expecting-- when I started the book. We have plenty of authors writing about these problems but there are not nearly enough who are proposing solutions. This author is no exception to that.",,,1,0
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",3,3.85,Saga Press,ebook,209,2019,2019,2022/02/02,2022/01/01,,,read,,,,1,0
36510196,"Old Man's War (Old Man's War, #1)",John Scalzi,"Scalzi, John",,"=""""","=""""",0,4.23,Tor Books,Kindle Edition,318,2007,2005,,2022/02/02,to-read,to-read (#3),to-read,,,,0,0
838729,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0345240340""","=""9780345240347""",5,4.58,Ballantine Books,Mass Market Paperback,385,1974,1955,2022/01/24,2021/12/24,,,read,,,,1,0
2493,The Time Machine,H.G. Wells,"Wells, H.G.","Greg Bear, Carlo Pagetti","=""""","=""""",3,3.89,Signet Classics,Paperback,118,2002,1895,2022/01/24,2021/07/16,,,read,,,,1,0
222910,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",5,4.50,Ballantine Books,Mass Market Paperback,447,1973,1954,2021/12/24,2021/12/01,,,read,,,,1,0
32191710,Astrophysics for People in a Hurry,Neil deGrasse Tyson,"Tyson, Neil deGrasse",,"=""0393609391""","=""9780393609394""",5,4.08,W. W. Norton & Company,Hardcover,223,2017,2017,2021/11/17,2021/07/16,,,read,,,,1,0
5907,"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin","=""""","=""""",5,4.29,Houghton Mifflin,Paperback,366,2002,1937,2021/11/17,2021/10/25,,,read,,,,1,0
28243032,We Are Okay,Nina LaCour,"LaCour, Nina",,"=""0525425896""","=""9780525425892""",4,3.93,Dutton Books for Young Readers,Hardcover,236,2017,2017,2021/01/01,2020/03/20,,,read,,,,1,0
36288143,Brotopia: Breaking Up the Boys' Club of Silicon Valley,Emily  Chang,"Chang, Emily",,"=""0735213542""","=""9780735213548""",5,4.00,Portfolio,Kindle Edition,335,2018,2018,2021/01/01,2020/02/13,,,read,,,,1,0
3263607,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",5,4.40,Ballantine Books,Mass Market Paperback,527,1973,1954,2021/11/01,2021/12/01,,,read,,,,1,0
45047384,"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,"Klune, T.J.",,"=""""","=""""",5,4.38,Tor Books,Kindle Edition,394,2020,2020,2021/07/01,2021/03/30,,,read,,,,1,0
28186015,Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,"O'Neil, Cathy",,"=""0553418815""","=""9780553418811""",4,3.87,Crown,Hardcover,259,2016,2016,2021/01/01,2021/02/03,,,read,,,,1,0
34184307,Code Girls: The Untold Story of the American Women Code Breakers Who Helped Win World War II,Liza Mundy,"Mundy, Liza",,"=""0316439894""","=""9780316439893""",5,3.96,Hachette Books,Hardcover,640,2017,2017,2021/01/01,2021/02/02,,,read,,,,1,0
44492285,Dune Messiah (Dune #2),Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098234""","=""9780593098233""",5,3.89,Ace,Mass Market Paperback,336,2019,1969,2021/12/01,2021/11/17,,,read,,,,1,0
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",5,4.28,Ace,Hardcover,658,2019,1965,2021/07/16,2021/03/30,,,read,,,,1,0
34974754,Reset: My Fight for Inclusion and Lasting Change,Ellen Pao,"Pao, Ellen",,"=""1524774871""","=""9781524774875""",5,4.12,Random House Audio,Audio CD,0,2017,2017,,2021/04/16,,,read,,,,1,0
70535,"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,"=""""","=""""",0,4.17,Roc,Paperback,297,2000,1968,,2021/07/16,to-read,to-read (#2),to-read,,,,0,0
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte Gordon,"=""0143131842""","=""9780143131847""",0,3.89,Penguin Classics,Paperback,260,2018,1818,,2021/07/16,to-read,to-read (#1),to-read,,,,0,0
40275288,"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha Shannon,"Shannon, Samantha",,"=""1408883457""","=""9781408883457""",5,4.17,Bloomsbury Publishing,ebook,848,2019,2019,2021/06/10,2021/03/30,,,read,,,,1,0
40363555,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",Nathalia Holt,"Holt, Nathalia",,"=""0316338915""","=""9780316338912""",3,3.87,"Little, Brown and Company",Kindle Edition,326,2016,2016,,2021/04/16,,,read,,,,1,0
22856166,Headstrong: 52 Women Who Changed Science-and the World,Rachel Swaby,"Swaby, Rachel",,"=""0553446797""","=""9780553446791""",5,4.00,Broadway Books,Paperback,288,2015,2015,,2021/04/16,,,read,,,,1,0
18667779,Everything Leads to You,Nina LaCour,"LaCour, Nina",,"=""0525425888""","=""9780525425885""",5,3.84,Dutton Books for Young Readers,Hardcover,307,2014,2014,2021/04/16,2018/08/19,,,read,,,,1,0
39073387,Bloom,Kevin Panetta,"Panetta, Kevin",Savanna Ganucheau,"=""1626726418""","=""9781626726413""",5,3.90,First Second,Paperback,368,2019,2019,,2019/12/21,,,read,,,,1,0
32025298,"The Woman Who Smashed Codes: A True Story of Love, Spies, and the Unlikely Heroine who Outwitted America's Enemies",Jason Fagone,"Fagone, Jason",,"=""0062430483""","=""9780062430489""",4,4.09, Dey Street Books,Hardcover,444,2017,2017,2021/04/13,2020/02/13,,,read,,,,1,0
34490192,Soonish: Ten Emerging Technologies That'll Improve and/or Ruin Everything,Kelly Weinersmith,"Weinersmith, Kelly",Zach Weinersmith,"=""0399563822""","=""9780399563829""",5,3.94,Penguin Press,Hardcover,368,2017,2017,2021/03/30,2021/02/04,,,read,,,,1,0
9520360,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,"Riordan, Rick",,"=""1423140591""","=""9781423140597""",5,4.40,Disney-Hyperion Books,Hardcover,521,2011,2011,,2019/12/21,,,read,,,,1,0
9275658,"Legend (Legend, #1)",Marie Lu,"Lu, Marie",,"=""""","=""""",4,4.15,Putnam Juvenile,Hardcover,305,2011,2011,,2019/12/21,,,read,,,,1,0
36381037,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,"Meyer, Marissa",,"=""""","=""""",5,4.13,Feiwel & Friends,Hardcover,400,2012,2012,,2019/12/21,,,read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2019/12/21,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,4.58,Scholastic Inc,Paperback,652,2006,2005,,2019/12/21,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.50,Scholastic Inc.,Paperback,870,2004,2003,,2019/12/21,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",5,4.57,Scholastic,Paperback,734,2002,2000,,2019/12/21,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",0,4.58,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2019/12/21,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",5,4.43,Arthur A. Levine Books,Hardcover,352,1999,1998,,2019/12/21,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""0439554934""","=""9780439554930""",5,4.47,Scholastic Inc,Hardcover,309,2003,1997,,2019/12/21,,,read,,,,1,0
15745753,Eleanor & Park,Rainbow Rowell,"Rowell, Rainbow",,"=""1250012570""","=""9781250012579""",4,3.93,St. Martin's Press,Hardcover,328,2013,2012,,2019/12/21,,,read,,,,1,0
7664041,"Inheritance (The Inheritance Cycle, #4)",Christopher Paolini,"Paolini, Christopher",,"=""0375856110""","=""9780375856112""",4,4.16,Alfred A. Knopf,Hardcover,849,2011,2011,,2019/12/21,,,read,,,,1,0
2248573,"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,"Paolini, Christopher",,"=""0375826726""","=""9780375826726""",4,4.11,Alfred A. Knopf,Hardcover,748,2008,2008,,2019/12/21,,,read,,,,1,0
45978,"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,"Paolini, Christopher",,"=""0375840400""","=""9780375840401""",4,4.05,Knopf Books for Young Readers,Paperback,704,2007,2005,,2019/12/21,,,read,,,,1,0
113436,Eragon (The Inheritance Cycle #1),Christopher Paolini,"Paolini, Christopher",,"=""0375826696""","=""9780375826696""",4,3.96,Alfred A. Knopf,Paperback,503,2005,2002,,2019/12/21,,,read,,,,1,0
9615347,Anya's Ghost,Vera Brosgol,"Brosgol, Vera",,"=""1596437138""","=""9781596437135""",5,3.91,First Second,Hardcover,224,2011,2011,,2019/12/21,,,read,,,,1,0
19351043,Nimona,N.D. Stevenson,"Stevenson, N.D.",,"=""""","=""""",5,4.18,Harper Collins,ebook,272,2015,2015,,2019/12/21,,,read,,,,1,0
7736182,"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,"Riordan, Rick",,"=""142311339X""","=""9781423113393""",5,4.29,Disney-Hyperion Books,Hardcover,576,2010,2010,,2019/12/21,,,read,,,,1,0
4556058,"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,"Riordan, Rick",,"=""1423101472""","=""9781423101475""",5,4.55,Disney-Hyperion Books,Hardcover,381,2009,2009,,2019/12/21,,,read,,,,1,0
2120932,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,"Riordan, Rick",,"=""1423101464""","=""9781423101468""",5,4.42,Hyperion Books for Children,Hardcover,361,2008,2008,,2019/12/21,,,read,,,,1,0
561456,"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,"Riordan, Rick",,"=""""","=""""",5,4.37,Puffin Books,Kindle Edition,352,2007,2007,,2019/12/21,,,read,,,,1,0
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,"Riordan, Rick",,"=""0786856866""","=""9780786856862""",5,4.24,Hyperion Books,Hardcover,279,2006,2006,,2019/12/21,,,read,,,,1,0
7747374,"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,"Lore, Pittacus",,"=""0061969559""","=""9780061969553""",5,3.93,HarperCollins,Hardcover,440,2010,2010,,2018/07/10,,,read,,,,1,0
19547856,"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,"Albertalli, Becky",,"=""0062348671""","=""9780062348678""",5,4.14,Balzer + Bray,Hardcover,320,2015,2015,,2018/07/10,,,read,,,,1,0
20820994,I'll Give You the Sun,Jandy Nelson,"Nelson, Jandy",,"=""0803734964""","=""9780803734968""",5,4.15,Dial Books,Hardcover,371,2014,2014,,2018/07/10,,,read,,,,1,0
23395680,"Illuminae (The Illuminae Files, #1)",Amie Kaufman,"Kaufman, Amie",Jay Kristoff,"=""0553499114""","=""9780553499117""",5,4.24,Knopf Books for Young Readers,Hardcover,608,2015,2015,,2018/07/10,,,read,,,,1,0
