Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
47000,L'Alchimiste,Paulo Coelho,"Coelho, Paulo",,"=""2253150908""","=""9782253150909""",5,3.92,Le Livre de Poche,Mass Market Paperback,189,1994,1988,2025/02/18,2025/02/18,,,read,,,,1,0
52582665,We Were Dreamers: An Immigrant Superhero Origin Story,Simu Liu,"Liu, Simu",,"=""0063046512""","=""9780063046511""",5,4.33,William Morrow,ebook,320,2022,2022,2025/02/14,2024/12/29,,,read,,,,1,0
204927599,Nexus: A Brief History of Information Networks from the Stone Age to AI,Yuval Noah Harari,"Harari, Yuval Noah",,"=""059373422X""","=""9780593734223""",4,4.17,Random House,Hardcover,528,2024,2024,2025/02/13,2024/11/15,,,read,,,,1,0
15688,L'Étranger,Albert Camus,"Camus, Albert",,"=""2070360024""","=""9782070360024""",0,4.03,Gallimard,Paperback,184,2016,1942,,2025/02/12,to-read,to-read (#41),to-read,,,,0,0
1452956,Le Tour du monde en 80 jours,Jules Verne,"Verne, Jules",,"=""2253012696""","=""9782253012696""",0,3.95,Le Livre de Poche,Mass Market Paperback,331,2000,1872,,2025/02/12,to-read,to-read (#40),to-read,,,,0,0
23317538,Rising Strong: The Reckoning. The Rumble. The Revolution,Brené Brown,"Brown, Brené",,"=""0812995821""","=""9780812995824""",4,4.25,Random House,Hardcover,336,2015,2015,2025/02/05,2024/02/03,,,read,,,,1,0
47021,The Taming of the Shrew,William Shakespeare,"Shakespeare, William","Barbara A. Mowat, Paul Werstine","=""074347757X""","=""9780743477574""",4,3.74,Simon  Schuster,Mass Market Paperback,291,2004,1593,2025/01/28,2025/01/28,,,read,,,,1,0
60838950,Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,"Miller, Chris",,"=""1982172029""","=""9781982172022""",0,4.41,Scribner,Kindle Edition,463,2022,2022,,2025/01/24,to-read,to-read (#39),to-read,,,,0,0
42607,As You Like It,William Shakespeare,"Shakespeare, William","Paul Werstine, Barbara A. Mowat","=""074348486X""","=""9780743484862""",4,3.81,Simon Schuster,Paperback,263,2011,1599,2025/01/20,2025/01/14,,,read,,,,1,0
13525945,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,"Newport, Cal",,"=""1455509108""","=""9781455509102""",5,4.07,Business Plus,Kindle Edition,288,2012,2012,2025/01/20,2024/02/16,,,read,,,,1,0
13006,Julius Caesar,William Shakespeare,"Shakespeare, William","Harold Bloom, Roma Gill, William Allan Neilson","=""0198320272""","=""9780198320272""",5,3.71,Oxford University Press,Paperback,175,2002,1599,2025/01/14,2025/01/14,,,read,,,,1,0
