Title,Author,ISBN,ISBN13,Number of Pages,Available Formats
Silent Spring,Rachel Carson,"=""0618249060""","=""9780618249060""",378,"['HOOPLA E BOOK', 'HOOPLA AUDIO BOOK', 'LIBBY EBOOK', 'KINDLE', 'LIBBY AUDIOBOOK']"
Great Women Artists,Phaidon Press,"=""0714878774""","=""9780714878775""",464,[]
The Six: The Untold Story of America's First Women Astronauts,Loren Grush,"=""1982172800""","=""9781982172800""",432,"['KINDLE', 'LIBBY AUDIOBOOK', 'LIBBY EBOOK']"
I'm Glad My Mom Died,Jennette McCurdy,"=""""","=""""",320,"['HOOPLA AUDIO BOOK', 'KINDLE', 'LIBBY AUDIOBOOK', 'LIBBY EBOOK']"
The Intelligent Investor,Benjamin Graham,"=""0060555661""","=""9780060555665""",623,"['HOOPLA E BOOK', 'LIBBY EBOOK', 'HOOPLA AUDIO BOOK', 'KINDLE', 'LIBBY AUDIOBOOK']"
The Clash of the Cultures: Investment vs. Speculation,John C. Bogle,"=""1118122771""","=""9781118122778""",384,[]
Where Are the Customers' Yachts?: or A Good Hard Look at Wall Street,Fred Schwed Jr.,"=""0471770892""","=""9780471770893""",208,[]
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"=""1501135910""","=""9781501135910""",400,[]
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"=""0765326353""","=""9780765326355""",1007,"['KINDLE', 'LIBBY AUDIOBOOK', 'LIBBY EBOOK']"
"The Sandman, Vol. 1: Preludes & Nocturnes",Neil Gaiman,"=""1563892278""","=""9781563892271""",240,['HOOPLA E COMIC BOOK']
The Letters of Vincent van Gogh,Vincent van Gogh,"=""0140446745""","=""9780140446746""",528,"['HOOPLA E BOOK', 'EPUB', 'HOOPLA AUDIO BOOK', 'HTML', 'KINDLE', 'PLAIN TEXT']"
Circe,Madeline Miller,"=""0316556343""","=""9780316556347""",393,"['HOOPLA E BOOK', 'KINDLE', 'LIBBY EBOOK', 'LIBBY AUDIOBOOK']"
"Old Man's War (Old Man's War, #1)",John Scalzi,"=""""","=""""",318,[]
"2001: A Space Odyssey (Space Odyssey, #1)",Arthur C. Clarke,"=""""","=""""",297,[]
Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"=""0143131842""","=""9780143131847""",260,[]
